央视频道,#genre#
江西卫视高清,http://110.191.246.230:8888/rtp/239.93.0.134:5140
江西卫视高清,http://118.114.168.57:8888/rtp/239.93.0.134:5140
黑龙江卫视高清,http://171.217.146.166:8888/rtp/239.93.0.183:5140
黑龙江卫视高清,http://118.114.168.57:8888/rtp/239.93.0.183:5140
黑龙江卫视高清,http://110.191.246.230:8888/rtp/239.93.0.183:5140
重庆卫视高清,http://171.217.146.166:8888/rtp/239.93.1.107:5140
重庆卫视高清,http://118.114.168.57:8888/rtp/239.93.1.107:5140
重庆卫视高清,http://110.191.246.230:8888/rtp/239.93.1.107:5140
贵州卫视高清,http://118.114.168.57:8888/rtp/239.93.0.131:5140
贵州卫视高清,http://171.217.146.166:8888/rtp/239.93.0.131:5140
贵州卫视高清,http://61.188.254.15:9527/rtp/239.93.0.131:5140
湖北卫视高清,http://171.88.37.49:4022/rtp/239.93.0.250:5140
湖北卫视高清,http://171.217.146.166:8888/rtp/239.93.0.250:5140
湖北卫视高清,http://118.114.168.57:8888/rtp/239.93.0.250:5140
安徽卫视高清,http://118.114.168.57:8888/rtp/239.93.1.106:5140
安徽卫视高清,http://110.191.246.230:8888/rtp/239.93.1.106:5140
安徽卫视高清,http://118.122.103.228:4022/rtp/239.93.1.106:5140
河北卫视高清,http://110.191.246.230:8888/rtp/239.93.0.132:5140
河北卫视高清,http://118.122.103.228:4022/rtp/239.93.0.132:5140
河北卫视高清,http://118.114.168.57:8888/rtp/239.93.0.132:5140
辽宁卫视高清,http://118.114.168.57:8888/rtp/239.93.1.108:5140
辽宁卫视高清,http://110.191.246.230:8888/rtp/239.93.1.108:5140
辽宁卫视高清,http://171.217.146.166:8888/rtp/239.93.1.108:5140
河南卫视高清,http://118.122.103.228:4022/rtp/239.93.42.45:5140
河南卫视高清,http://110.191.246.230:8888/rtp/239.93.42.45:5140
河南卫视高清,http://171.88.37.49:4022/rtp/239.93.42.45:5140
广西卫视高清,http://110.191.246.230:8888/rtp/239.93.42.46:5140
广西卫视高清,http://171.88.37.49:4022/rtp/239.93.42.46:5140
广西卫视高清,http://118.122.103.228:4022/rtp/239.93.42.46:5140
吉林卫视高清,http://118.114.168.57:8888/rtp/239.93.0.248:5140
吉林卫视高清,http://110.191.246.230:8888/rtp/239.93.0.248:5140
吉林卫视高清,http://171.217.146.166:8888/rtp/239.93.0.248:5140
甘肃卫视高清,http://118.114.168.57:8888/rtp/239.93.0.81:5140
甘肃卫视高清,http://118.122.103.228:4022/rtp/239.93.0.81:5140
甘肃卫视高清,http://171.217.146.166:8888/rtp/239.93.0.81:5140
陕西卫视,http://110.191.246.230:8888/rtp/239.93.0.176:5140
陕西卫视,http://171.88.37.49:4022/rtp/239.93.0.176:5140
陕西卫视,http://125.69.147.107:8888/rtp/239.93.0.176:5140
山西卫视,http://118.122.103.228:4022/rtp/239.93.0.6:5140
山西卫视,http://182.149.86.235:58888/rtp/239.93.0.6:5140
山西卫视,http://110.191.246.230:8888/rtp/239.93.0.6:5140
内蒙古卫视,http://118.122.103.228:4022/rtp/239.93.0.8:5140
内蒙古卫视,http://110.191.246.230:8888/rtp/239.93.0.8:5140
内蒙古卫视,http://171.88.37.49:4022/rtp/239.93.0.8:5140
